x,y,,g,id,date
-87.726648,41.921129,,3.49125,6ZhBgFGfvfxw8ht-SMLO0Q,2018-07
-87.726646,41.921039,,3.190625,m0a33Vjwra-1mI1VnbNtPA,2018-07
-87.726641,41.920841,,6.00802083333,qeUtliekoHTcrSvO7UmDww,2018-07
-87.726637,41.920716,,3.138125,LKTxo_b4OEN_L7TWtnKbJQ,2018-07
-87.726631,41.920540,,2.99947916667,WnqL8oBwKZX7gp1VeH2M9Q,2018-07
-87.726631,41.924550,,3.14052083333,ZYnRrdpAqlGZRL27eC87KA,2018-05
-87.726629,41.920452,,5.35302083333,__kMfW8ttb2z2JNG_kI6pA,2018-07
-87.726623,41.920276,,4.09239583333,UQ-hSW5AextP9TDE5AgBvQ,2018-07
-87.726620,41.920186,,4.4059375,4tOCmqdIRbBQVgQ7rTSvGA,2018-07
-87.726614,41.920006,,2.92854166667,peTltEDtwDEHHDzpbFqxZQ,2018-07
-87.726610,41.919890,,5.49666666667,rqaUkSySoncsBw8n7XS3lQ,2018-07
-87.726608,41.919809,,7.65708333333,rYw0Aq5lIqqyG7XfP9nQmw,2018-07
-87.726604,41.919627,,2.99604166667,S0TKdk7_OGJmL_YubOhX0g,2018-07
-87.726602,41.919539,,2.92947916667,piKuzojtgHBbT0vjkTgawg,2018-07
-87.726602,41.926324,,5.5,xAX6h_17N3BWmAVFJq00Sw,2018-05
-87.726600,41.919395,,2.46354166667,4CRku4Hn1d8Uwd7IHSl_xA,2018-07
-87.726597,41.919215,,13.2371875,-9-7qnJ4lXR8n-E_q4KZzA,2018-07
-87.726595,41.919136,,15.7640625,mpQRkCEKqaTiiGuLZ-X07Q,2018-07
-87.726593,41.919010,,13.2554166667,ngPHcY7NfF-UJ5NP1JKdQQ,2018-07
-87.726482,41.926325,,4.68552083333,NXCAVLqeEOkCaqn1sktOTg,2018-05
-87.726467,41.929987,,2.88645833333,X--vPbifLcYDCvMmK9E8qA,2018-05
-87.726434,41.928142,,13.3003125,In3mPL5Q7BoVB0EmvsYYfw,2018-05
-87.726430,41.924461,,1.84833333333,FeEgkwApPxTejvP9g6AoQw,2018-06
-87.726424,41.920839,,7.47833333333,5RlYxverMpLZs0X_sbaE8Q,2018-07
-87.726417,41.922661,,9.03541666667,FCxyjHOBoiirLxbQLwh-QQ,2018-07
-87.726361,41.926326,,8.27302083333,kTWC8FRpPPC_KW3n9JpLHg,2018-05
-87.726313,41.928145,,14.8019791667,hlkVTr2tWu-BnYRbQjoE-A,2018-05
-87.726296,41.922659,,10.1007291667,zVDkkCHHZr3oCH-rk5NvZA,2018-07
-87.726291,41.920843,,7.1940625,UV9OJrZqZln9ATxg9wJFCA,2018-07
-87.726286,41.929992,,12.6780208333,TroZC2M5ptcf_BXsRahq1Q,2018-05
-87.726260,41.924555,,1.77989583333,pdWx_HLVv0Zi3B-mVFwOaw,2018-05
-87.726158,41.920847,,9.68302083333,oJRkUN4giD8cF3w6qnTwPA,2018-07
-87.726120,41.926329,,15.8119791667,QS6sj7WoAjTv5NlnGz04fg,2018-05
-87.726117,41.929996,,11.6291666667,cGRErx0P8wh6MdPp0uJdOA,2018-05
-87.726102,41.922656,,14.7588541667,4DZtVz5JNq1ycC9QGk2RoA,2018-07
-87.726078,41.924556,,1.0959375,1xQ5MG_rXBtupEp6tmZyAQ,2018-05
-87.726072,41.928151,,21.451875,Y09NYAWH2ts1czzI_mZMcA,2018-05
-87.725996,41.929999,,14.7610416667,T4WCt1WLQHTop99CSJOLjg,2018-05
-87.725971,41.920850,,9.73395833333,Gbv23ToxCr8pKHvYfXbN6Q,2018-07
-87.725963,41.928154,,26.8140625,SkyTsJ55MtSZVpVi-TqXKg,2018-05
-87.725957,41.924557,,1.0734375,3IkEcJMxbs_AkYkP4CUxbg,2018-05
-87.725931,41.922658,,18.3601041667,vAJ54RZBFJq685JQwsEH8w,2018-07
-87.725881,41.926333,,20.3910416667,7WykudXWhV4p3T4re-qshQ,2018-05
-87.725875,41.930002,,22.765625,QEa1XYhY5zMleJe943fPAg,2018-05
-87.725753,41.931677,,18.1433333333,NKXLLvLg0kMBHXJ3ycr3KA,2018-05
-87.725746,41.931578,,21.9538541667,d_uQcDVB0OJRAn-uLW4q8w,2018-05
-87.725733,41.931381,,19.6157291667,HHUgYNBVGqbX93JmW2rLGw,2018-05
-87.725730,41.920851,,15.5022916667,ZqjVgYQr7LW5LZBevA8H6w,2018-07
-87.725728,41.931260,,15.0723958333,t0NukKZk3ABks9-QMWinBw,2018-05
